STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
12150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12150.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12975,11250,1725,1218.15,4875,1267.5,13392.95
12150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12150.00,261,251,2510.0,1643,60.73,3.15,-0.05000000000000026,-1.5625000000000084,244500,12900,1125,3.05,75,3.15,13392.95
12200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12200.00,4,1,33.333333333333336,25,0.0,1205.3,214.94999999999996,21.70444792245165,15225,15225,75,1179.25,75,1216.85,13392.95
12200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12200.00,7198,5197,259.72013993003503,29545,59.13,3.35,-1.1999999999999995,-26.37362637362637,137175,55725,8025,3.3,2325,3.4,13392.95
12250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,12975,11250,1725,1119.75,4875,1183.05,13392.95
12250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12250.00,239,201,528.9473684210526,1457,57.73,3.55,-1.7000000000000002,-32.38095238095238,22425,12075,75,3.5,150,3.75,13392.95
12300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12300.00,30,1,3.4482758620689653,5,68.74,1038.1,26.54999999999995,2.6246848895259705,57450,15225,1725,1072.5,975,1117.45,13392.95
12300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12300.00,3888,2346,152.1400778210117,28421,55.53,3.75,-2.1,-35.89743589743589,63825,49350,450,3.75,1800,3.85,13392.95
12350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,23325,11250,1725,1017.7,4875,1068.15,13392.95
12350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12350.00,421,373,777.0833333333335,2935,54.44,4.05,-1.6500000000000004,-28.94736842105264,19125,17475,600,3.9,225,4.25,13392.95
12400,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12400.00,37,0,0.0,4,0.0,902.15,-8.0,-0.8789759929681921,25275,16050,225,984.95,150,1011.2,13392.95
12400,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12400.00,3493,1797,105.95518867924528,37783,52.45,4.35,-2.95,-40.41095890410959,96075,44850,525,4.35,450,4.45,13392.95
12450,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12450.00,2,1,100.0,1,0.0,936.4,86.39999999999998,10.16470588235294,22800,11850,1725,919.35,600,969.0,13392.95
12450,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12450.00,1088,939,630.2013422818793,8251,50.54,4.6,-2.8000000000000007,-37.83783783783785,87825,33450,75,4.6,225,4.9,13392.95
12500,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12500.00,96,0,0.0,33,0.0,899.65,60.0,7.145834573929613,30375,18750,75,882.5,75,909.8,13392.95
12500,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12500.00,18654,3378,22.113118617439124,132416,49.13,5.25,-3.4499999999999997,-39.65517241379309,517875,231000,75,5.2,825,5.25,13392.95
12550,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12550.00,4,1,33.333333333333336,31,0.0,838.55,94.04999999999997,12.632639355271987,26250,15900,75,830.75,1650,870.35,13392.95
12550,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12550.00,774,568,275.72815533980577,10907,47.57,5.75,-3.65,-38.82978723404256,243300,29775,975,5.55,825,5.85,13392.95
12600,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12600.00,46,0,0.0,32,48.57,797.0,83.29999999999995,11.671570687964124,32550,17175,75,795.25,750,819.35,13392.95
12600,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12600.00,10287,3419,49.78159580663949,81430,45.97,6.15,-4.75,-43.57798165137615,346575,94950,675,6.15,375,6.25,13392.95
12650,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12650.00,41,3,7.894736842105262,35,0.0,746.25,64.95000000000005,9.533245266402474,28125,16725,75,749.6,450,754.4,13392.95
12650,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12650.00,1232,937,317.6271186440678,14594,44.54,6.8,-5.750000000000001,-45.81673306772909,251400,34050,1875,6.8,75,6.95,13392.95
12700,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12700.00,95,10,11.764705882352944,70,0.0,707.7,72.95000000000005,11.49271366679796,29775,20325,225,701.1,75,705.9,13392.95
12700,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12700.00,12364,2975,31.686015550111836,115424,43.13,7.8,-6.000000000000001,-43.47826086956522,298875,152325,1950,7.75,525,7.9,13392.95
12750,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12750.00,13,2,18.181818181818183,51,36.71,632.6,39.5,6.659922441409543,25725,14775,75,652.75,225,656.5,13392.95
12750,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12750.00,3356,2500,292.05607476635515,37726,41.79,9.0,-8.25,-47.82608695652174,276075,109800,900,8.95,1500,9.1,13392.95
12800,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12800.00,260,47,22.06572769953052,290,46.84,610.0,99.35000000000002,19.45559580926271,37350,24600,225,603.9,225,608.3,13392.95
12800,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12800.00,24237,8655,55.544859453215246,248818,40.44,10.55,-10.15,-49.033816425120776,449100,302625,450,10.5,675,10.65,13392.95
12850,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12850.00,24,-1,-4.0,33,0.0,552.7,73.25000000000007,15.277922619668384,25875,19125,225,555.2,75,559.55,13392.95
12850,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12850.00,3037,1612,113.12280701754385,54022,38.99,12.2,-13.25,-52.062868369351676,241350,105150,375,12.25,750,12.4,13392.95
12900,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12900.00,181,77,74.03846153846153,820,0.0,498.0,41.39999999999998,9.067017082785805,41400,26325,150,507.35,150,511.75,13392.95
12900,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12900.00,21402,8317,63.56132976690868,286033,37.52,14.2,-16.75,-54.11954765751212,352500,281550,750,14.15,450,14.25,13392.95
12950,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE12950.00,204,82,67.21311475409836,484,35.93,442.8,54.19999999999999,13.94750386001029,31050,26250,225,460.6,75,464.15,13392.95
12950,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE12950.00,4329,1991,85.15825491873395,80291,36.38,17.1,-19.8,-53.65853658536584,221325,93825,1125,16.95,375,17.15,13392.95
13000,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13000.00,1431,101,7.593984962406014,10081,38.8,415.85,52.65000000000003,14.496145374449348,86700,41175,300,413.9,75,416.25,13392.95
13000,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13000.00,45455,16610,57.58363667880049,753252,35.12,20.45,-24.000000000000004,-53.993250843644546,548400,752700,600,20.3,75,20.4,13392.95
13050,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13050.00,260,213,453.1914893617021,1221,36.44,340.35,27.800000000000008,8.89457686770117,42300,30300,75,367.35,225,371.05,13392.95
13050,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13050.00,3785,2245,145.77922077922082,90847,33.85,24.05,-30.45,-55.87155963302752,128550,97500,675,24.05,75,24.2,13392.95
13100,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13100.00,1086,487,81.30217028380635,13568,35.08,325.85,40.85000000000002,14.333333333333346,70800,47925,75,322.3,75,324.55,13392.95
13100,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13100.00,20806,9666,86.76840215439856,426027,32.58,28.9,-34.2,-54.19968304278922,219300,334200,675,28.8,225,28.95,13392.95
13150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13150.00,459,411,856.25,10757,33.79,284.85,45.50000000000003,19.009818257781504,85275,39300,75,278.9,225,280.6,13392.95
13150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13150.00,5947,2758,86.48479147068045,121219,31.27,34.75,-40.15000000000001,-53.60480640854473,124950,120300,300,34.8,1275,35.0,13392.95
13200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13200.00,6505,3924,152.03409531189462,128635,32.88,238.55,29.450000000000014,14.08417025346725,131175,87975,225,237.45,150,238.25,13392.95
13200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13200.00,32465,15234,88.41042307469097,608140,30.21,41.8,-47.75,-53.32216638749302,281550,424350,75,41.85,150,41.9,13392.95
13250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13250.00,8671,8187,1691.5289256198348,103215,31.37,195.35,22.599999999999994,13.082489146164976,96225,54975,150,195.2,75,196.2,13392.95
13250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13250.00,14203,9942,233.32551044355785,209948,28.81,51.1,-56.45,-52.487215248721526,208800,211950,525,51.05,75,51.3,13392.95
13300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13300.00,21079,15225,260.07857874957296,436734,30.16,159.75,10.949999999999989,7.358870967741928,243375,179400,75,159.35,225,159.75,13392.95
13300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13300.00,29990,14840,97.95379537953795,524594,27.83,63.7,-59.75,-48.40016200891049,443550,411525,225,63.75,3525,64.0,13392.95
